"daa_id","name","address","postal_address","phone","fax","website","email","officer","facilities","access","focus","quantity","enquiries","notes","holdings","guides","references","see_also","last_updated","n_id","public","state"
"140","Reserve Bank of Australia","65 Martin Place, Sydney 2000","GPO Box 3947, Sydney 2001","(02) 9551-9762","(02) 9551-8000","http://www.rba.gov.au/AboutTheRBA/Archives/index.html","archives@rba.gov.au","Manager, Document Management","Open Mon-Fri 9am-5pm; closed public holidays and New South Wales Bank Holiday. General reference assistance available. Limited copying services available for books, journals, original records to A3, microfilms and photographs.","Advance notice of visit required. Details should be supplied in accordance with the Application for Registration as a Public User (available at http://www.rba.gov.au/AboutTheRBA/Archives/application_form.asp). The RBA's general policy is that records created by the Bank are open to the public 15 years from the date of their creation. The RBA also complies with the provisions of the Archives Act 1983 in relation to its overall collection.","Records relating to central banking; the economy and monetary policy; financial markets; financial system surveillance; banking and note issue/printing/design functions, some of which are displayed in the RBA&#8217;s Currency Museum (http://www.rba.gov.au/Museum/index.html). The Reserve Bank (which was the Commonwealth Bank prior to 1960) also has a collection of records of Savings Banks that amalgamated with the Commonwealth Bank which date back to 1832 (100% in-house).",,,,"<ul> <li>Commonwealth Bank of Australia: Varied 1912-1960 (500m).</li> <li>Reserve Bank of Australia: Varied 1960- (2000m).</li> </ul>",,"<ul> <li>Stewart, I A, 'Reserve Bank of Australia Archives', <em>Papers and Proceedings of the 2nd Biennial Conference of the Australian Society of Archivists</em>, 1979</li> <li>Rawstron, G J, <em>Resource Allocating at the Reserve Bank</em>, Proceedings of the 1995 Conference of the Australian Society of Archivists.</li> </ul>",,"2010-10-11","782","1","NSW"
"141","Richmond River Historical Society Inc","165 Molesworth Street, Lismore 2480","PO Box 467, Lismore 2480","(02) 6621-9993","(02) 6621 9992","http://www.richhistory.org.au","info@richhistory.org.au","Research Officer","Open Monday and Wednesday 10am-4pm or by appointment; closed weekends, public holidays and Christmas - New Year period. General reference assistance available. Copying services available for books, journals, original records to A3 and photographs. Written applications for research accepted.","Advance notice of visit preferred.","The overall focus of the Richmond River Historical Society Archives is on the Northern Rivers of New South Wales; namely Clarence, Richmond and Tweed with special emphasis on the Richmond District.","80m (100% in-house).","Honorary Secretary",,,,"<ul> <li>Richmond River Historical Society Bulletin (Quarterly)</li> <li>Publications listed on website</li> </ul>",,"2010-10-11","783","1","NSW"
"142","Roads and Traffic Authority, NSW","Archives Unit, Unit D, Corner Percy and Hall Streets, Auburn 2144","As above","(02) 9749-2784","(02) 9749-1614","http://www.rta.nsw.gov.au",,"Senior Archives Clerk","Open by appointment; closed public holidays. Reference assistance available by mail and by telephone. Copying services available for original records to A3. Researchers referred to Archives Office of NSW when relevant.","Advance notice of visit required. Proof of identity required for access to personnel records. Closed period of 30 years applies to most records. Under State Records legislation access to records not normally available for research can be gained by authorisation through the Coporate Archivist from the Senior Management.","In-house archives/records disposal service for Roads and Traffic Authority in co-operation with state Records Authority of New South Wales.","7,796 m (ACA Australian Archival Statistics, 1998)",,,"<ul> <li>Department of Main Roads: Main correspondence file series 1926.</li> </ul>",,,,"2010-10-11","784","1","NSW"
"143","Rockdale City Library and Information Service, Local History Collection","448 Princes Highway, Rockdale 2216
","PO Box 21, Rockdale 2216
","(02) 9562-1821","(02) 9562-1822",,"enquiry@rockdale.nsw.gov.au","Local History Librarian","Open Mon-Fri 9:30am-8pm and Sat 9:30am-2pm (Feb-Nov), Sat 9:30am-12pm (Dec-Jan); closed public holidays. General reference assistance available. Copying services available for books, journals, photographs and newspapers. Introductory brochure available.
","Advance notice of visit preferred.
","The collection's main focus is on the geographical area of the Municipality of Rockdale. Other material from surrounding St George district is also retained, but not actively sought. (25% in-house).
",,,,"<ul>
	 
	<li>Ald R Rathbone: Rathbone photographs 1880s-1950s.</li> 
	<li>Rockdale Municipal Council: Rate books. Eardley: Eardley files 1867-1966.</li> 
	<li>Geeves, P and Jervis, J.: Rockdale: Its beginning and development.</li> 
	<li>Leader Newspaper: <em>Leader</em> 1962- . (Indexed from Dec 1989 onwards).</li> 
	<li>Opera and theatre programs from local companies.</li> 
</ul>
",,,,"2010-10-11","785","1","NSW"
"144","The Rotary Club of Sydney Inc","2nd Floor, Advance Bank Building, 296-300 George Street, Sydney 2000","As above","(02) 9223-2422","(02) 9223-1589",,,"Chairman Archives Committee","Open Mon-Fri 9am-4:45pm; closed public holidays. General reference assistance available. No copying services available.","Written request must be made to the Club and approved by the Archivist.","All material of historical significance concerning the Club and its activities in the four avenues of service ie. the Community, Vocational, International and Club. Matters relating to Rotary International, the district, the region are included but secondary.","30.5m (95% in-house).","Executive Secretary",,"<ul> <li>Rotary Club of Sydney: Minutes of board meetings 1921- (2.5m); Photographs 1921- (1m); <em>The Pinion</em> Magazines 1924-1940 (1m); Annual reports 1921- (1m); Committee minutes and reports 1924- (7m); Rotary International correspondence 1920-1950 (0.2m).</li> <li>Rotary Great Britain and Ireland: Magazine 1923- 931(1m).</li> <li>Rotary International: <em>Rotary Down Under</em> Magazine 1965- (2.5m); <em>The Rotarian</em> Magazine 1920- (2.5m); Proceedings of Rotary International Annual Conference 1917- ; official Directory of Rotary International 1940- .</li> </ul>",,,,"2010-10-11","786","1","NSW"
"145","Royal Agricultural Society of NSW","Sydney Showground, 1 Showground Road, Homebush Bay 2127","GPO Box 4317, Sydney 2001","(02) 9704-1111","(02) 9704-1122","http://www.rasnsw.com.au/contacts.htm","jbirkl@rasnsw.com.au","Archivist","Open Tues, Wed and Thurs 10am-4:30pm and daily during Royal Easter Show; closed Mon and Fri. General reference assistance available. Copying services for books, journals, original records to A3, photographs and newspapers available. Introductory brochure available.","Advance notice of visit required with proof of identity if material is to be published. Some series are permanently closed. Access to records not normally available for research can be gained via the Archivist who refers specific cases to the Chief Executive Officer.","Royal Agricultural Society Archives collects records pertaining to its administrative function, the Royal Easter Show and agricultural and pastoral NSW particularly Breed Societies and Show Societies. (90% in-house).",,"Research Archivist",,"<ul> <li>Royal Agricultural Society of New South Wales: Council committee minutes 1857-1995; Catalogues 1869-1995; Maps and plans 1902-1985; Photographs c1880-1995; Flock and herd books.</li> </ul>",,"<ul> <li>Fletcher, Brian, <em>The Grand Parade</em></li> <li>Mant, Gerald, <em>The Big Show</em></li> </ul>",,"2010-10-11","787","1","NSW"
"146","History of Medicine Library","145 Macquarie Street, Sydney 2000","As above","(02) 9256-5444","(02) 9252-3310",,"racplib@racp.edu.au","Librarian","Open by appointment. General reference assistance available. Copying services available for books, journals and original records to A3.","Access to closed records requires approval of the Chairman and Archives Committee.","Material relating to medicine and health in Australia and New Zealand mostly donated by Fellows of the Royal Australian College of Physicians, together with records of the College - minute books, old files of correspondence, biographical files on Fellows etc. (90% in-house).",,,,"<ul> <li>Royal Australasian College of Physicians: Minutes, correspondence 1938- .</li> </ul>",,,,"2010-10-11","788","1","NSW"
"147","J.P. Trainor Archive Trust","Level 9, 51 Druitt Street, Sydney 2000","As above","(02) 9264-9841",,"http://www.ranzcr.edu.au/","archives@ranzcr.edu.au","The Archivist","Open by appointment. General reference assistance available. Copying services available for books, journals and original records to A3.",,"Records, artefacts, relating to radiology.","About 100m.",,,,"<ul> <li>Entries in National Library of Australia <em>Guide to Collections of Manuscripts Relating to Australia</em>.</li> <li>Guides in house.</li> </ul>",,,"2010-10-11","789","1","NSW"
"148","Royal Australian College of General Practitioners","39 Terry Street, Rozelle 2039","PO Box 906, Rozelle 2039","(02) 9555-8177","(02) 9555-8508",,,"Convenor, Archives Committee","Open by appointment; closed public holidays.",,"Concerned with documents and oral history related to the development, goals and activities of the Royal Australian College of General Practitioners. (98% in-house).",,"Honorary Secretary, Archives Committee",,"<ul> <li>Royal Australian College of General Practitioners: Minutes, reports 1958- ; Standing Committee: Minutes, reports 1958- ; Working groups: Minutes, reports 1958-; Individuals: Oral history 1958- .</li> <li>Family Medicine Program: Minutes, reports 1973- .</li> </ul>",,,,"2010-10-11","790","1","NSW"
"149","Royal Australian Historical Society","133 Macquarie Street, Sydney 2000","As above","(02) 9247-8001","(02) 9247-7854",,,"Honorary Archivist","Open Mon-Fri 9am-5pm; closed Christmas - New Year period. General reference assistance and copying services available. Referral to paid researchers is available. Introductory brochure available.","Proof of identity required.","Australian Local History, collection covers all towns in New South Wales. The Society also holds an extensive lantern slide collection. (90% in-house).",,"Executive Officer",,"<ul> <li>RAHS: Journals 1901-1991; Local histories 1901- .</li> <li>Affiliated Societies: Local histories 1800s- .</li> </ul>","<ul> <li>Entries in National Library of Australia <em>Guide to Collections of Manuscripts Relating to Australia</em></li> </ul>",,,"2010-10-11","791","1","NSW"
"150","Royal Botanic Gardens Sydney","Mrs Macquarie's Road, Sydney 2000","As above","(02) 9231-8152","(02) 9251-4403",,,"Librarian","Open by appointment. General reference assistance available and copying services for books, journals and original records to A3.","1-2 days' advance notice of visit required with details on research topic.","The history of the Royal Botanic Gardens Sydney.","c25m (100% in-house).",,,,,,,"2010-10-11","792","1","NSW"
"151","Royal New South Wales Bowling Association Incorporated","Level 5, 309 Pitt Street, Sydney 2000","PO Box A2186, Sydney South 2000","(02) 9283-4555","(02) 9283-4252",,"rnswba@msn.com","Chief Executive Officer","Open by appointment; closed weekends and public holidays. Reference assistance available by mail and by telephone. Copying services available for books, journals and photographs.","By arrangement with the Chief Executive Officer.","Records pertaining to the sport of lawn bowls in New South Wales.","21m (the majority of the archive is in the care of the State Library of NSW, Mitchell Library).",,,"<ul> <li>Royal NSW Bowling Association: Annual reports 1880- (5m); <em>Bowls in NSW</em> 1920-1991; <em>Bowls Alive in NSW</em> 1992- .</li> </ul>",,"<ul> <li><em>Bowls Alive</em> Magazine of the Royal NSW Bowling Association.</li> </ul>",,"2010-10-11","793","1","NSW"
"152","Royal Prince Alfred Hospital","Level 8, King George V Building, Royal Prince Alfred Hospital, Missenden Road, Camperdown NSW 2050
","As above
","+612 9515 9201","(02) 9515-9203","http://www.cs.nsw.gov.au/rpa/Museum/default.htm","kathryn.hillier@email.cs.nsw.gov.au","Historian/ Director","Reference assistance is available by appointment on Mondays and Wednsdays from 9am to 5pm. Telephone and mail enquiries welcome.
","By appointment only.
",,,,,,,,,"2010-10-11","794","1","NSW"
"153","Santa Sabina College Limited","90 The Boulevarde, Strathfield 2135","As above","(02) 9745-2900",,,,,"Open Tues and Wed 9:30am-3:30pm; closed Mon, Thurs, Fri and public holidays. General reference assistance available and copying services for books, journals, original records to A3 and photographs.","Minimum age 12 years. Advance notice of visit preferable. Access to records not normally available for research can be gained with the permission of the Principal.","Administrative, teaching and extra curricular activities of Santa Sabina College. Archives are in the process of being established.","25m",,,"<ul> <li>School Administration: Student records 1962-1991.</li> </ul>",,,,"2010-10-11","795","1","NSW"
"154","Scone and Upper Hunter Historical Society","43-47 Kingdon Street, Scone 2337 
","PO Box 339, Scone 2337 
",,,,,"President","<span style=""font-size: x-small""><span style=""font-family: Arial"">The Research Centre is open Wednesdays only 9.30am to 2.30pm closed mid Dec to mid Jan each year.  The Museum is open Wed 9.30am to 2.30pm and Sundays 2.30pm to 4.30pm.</span></span> 
","Preferably 2 weeks' advance notice of visit required. 
","The Society seeks to acquire material relating to Scone District and the Upper Hunter. (5% in-house). 
",,"Honorary Secretary","Contact 
For research: Betty Pinkerton (02) 6545 1598 or Denise Dell (02) 6543 7537 


For the museum : Margaret MacDougall (02) 6543 6211 
","<ul>
	<li>NSW Department of Lands: Free selection original grants 1862-1884.</li>
	<li>Scone Shire Council: Rates etc 1906-1950s.</li>
	<li>Scone Municipal Council: Rates etc 1887-1954.</li>
	<li>Public and Private Schools: Rolls and administration etc 1850s- .</li>
	<li>Local Sporting Organisations: Minute books.</li>
	<li>Abbott Family: Parliamentary and Rural Affairs 1830s-1960s.</li>
	<li>W T Seaward: Local organisations 1890s-1970s.</li>
	<li>Doyle Records: Day books etc 1891- .</li>
	<li>J A Smith: Copies of photos 1860s- .</li>
	<li>Local Organisations: Minute books, visitors' books (various dates).</li>
</ul>
",,"<ul>
	<li>Scone and Upper Hunter Historical Society Newsletter.</li>
</ul>
",,"2010-10-11","796","1","NSW"
"155","The Scots College","Victoria Road, Bellevue Hill 2023","As above","(02) 9391-7659","(02) 9327-6947",,"d.lvoff@tsc.nsw.edu.au",,"Open Mon-Thurs by appointment; closed Fri, public holidays and Christmas - New Year period. General reference assistance available. Copying services for books, journals and photographs can be arranged.","The Archive Office is located in the library. Please put reference requests in writing, mentioning the subject and purpose of the research.","Records pertaining to the College, its students, staff and officers.","90m (100% in-house).",,,"<ul> <li>Publications of the College: <em>The Scotsman</em> 1914- (annual; 1m); <em>The Lion and Lang Syne</em> (quarterly); <em>Flying Scotman</em> (weekly).</li> <li>Photographs 1893- (10m).</li> <li>Minutes 1915- (3m).</li> <li>Student files 1955- . (30m; closed).</li> </ul>",,"<ul> <li>Lvoff, Denise, 'Archive New' <em>The Lion</em> (Winter 1991): 6.</li> </ul>",,"2010-10-11","797","1","NSW"
"156","The NSW Scout Memorabilia Centre","Baden-Powell Drive, Appin 2560","As above","(02) 4631-1331",,,,"Manager","Open by appointment; closed Good Friday and Christmas Day. Introductory brochure available.",,"The Memorabilia Centre collects all items relating to a history of scouting in general and to NSW in particular. (95% in-house).",,,,"<ul> <li>NSW Scout Association; The Scout Association of Australia and various branches; and World Scouting Associations: Books, magazines, minutes, photographs, group histories, correspondence, newspaper articles 1907-1992.</li> </ul>",,"<ul> <li><em>Scout Memorabilia News</em> (quarterly journal).</li> </ul>",,"2010-10-11","798","1","NSW"
"157","Adventist Heritage Centre","via Avondale College Library, 582 Freemans Drive, Cooranbong 2265","PO Box 19, Cooranbong 2265","(02) 4980-2313","(02) 4980-2137","http://www.avondale.edu.au/","heritage@avondale.edu.au","Ms R Power","Open Thursday 9am-12pm, 1pm-5pm. Closed weekends and public holidays. Reference assistance available in person or by mail. Copying services available for most material.","Advance notice of each visit is required. Contact as above or via heritage@avondale.edu.au. Closed period applying to records varies with categories. Access to records not normally available for research can be granted to approved applications.","We aim to collect, preserve, research and exhibit the heritage and development of the Seventh-day Adventist Church and its subsidiaries within Australia, New Zealand and the Pacific Islands. Extensive photographic collection, particularly Pacific Islands missions.",,,"Previously known as Avondale College Heritage Room","<ul> <li>Photographs, films, published monographs and serials, minutes and other records, personal papers and memorabilia relating to Australasian Missionary College, Avondale College, and the South Pacific Division of the Seventh-day Adventist church - schools, missions, churches, medical work, publishing houses, etc.</li> </ul>",,,,"2010-10-11","799","1","NSW"
"158","Sisters of Charity of Australia","Rockwall Crescent, Potts Point 2011
","PO Box 21, Potts Point 2100
","(02) 9356-3294","(02) 9358-6830",,"arcinfo@pacific.net.au","Archivist-in-charge","Open <span style=""font-size: 12pt; font-family: 'Times New Roman'"">Mon., Tues., Wed., Thurs. and Fri. 10 a.m. to 3.30 p.m; closed Christmas-New Year period.<span>  </span>General reference assistance available in person in Research Room, by mail or telephone;<span>  </span>guided tours to Museum and Archives displays by prior arrangement.<span>  </span>Copying services availa</span>ble.
","Advance notice of visit required . Access restrictions apply to certain records.
","The Archive holds the records of this Catholic religious congregation (its governing and administrative bodies, individual members, convents) and of the facilities it continues or used to conduct / own in the field of health and aged care, education, social welfare and other charitable ventures in New South Wales, Victoria, Tasmania, Queensland and the Australian Capital Territory, and in overseas missions in the Pacific, from 1838 to date. In addition to standard paper-based archival holdings, the Archives include a rare book collection, artefacts, photographs, textiles and a reference library.
","280 linear metres (100% in-house).",,,,,,,"2010-10-11","800","1","NSW"
"159","Sisters of Mercy, North Sydney","128 Miller Street, North Sydney 2060","27A McLaren Street, North Sydney 2060","(02) 9957-5040","(02) 9954-4012",,,"Sister Archivist","Open by appointment. Reference assistance available by mail and by telephone. Copying services for original records to A3.","3 weeks' advance notice of visit required. Proof of identity required. Closed period of 6 years applies to most records.","Material related to the works of the Sisters of Mercy, North Sydney - ie specific schools, hospitals, welfare institutions. (95% in-house).",,,,"<ul> <li>Sisters of Mercy, North Sydney: Register of Sisters - names of sisters and parents, date of entry, death, place of origin 1870- .</li> </ul>",,,,"2010-10-11","801","1","NSW"
"160","Good Samaritan Archives","2 Avenue Road, Glebe Point 2037","As above","(02) 9566-2188","(02) 9692-8701","http://www.goodsams.org.au/about%20us/archives/archives.html","archives@goodsams.org.au","Archivist","Open by appointment Mon-Fri 9:30am-3:30pm; closed Sat, Sun and Christmas school holidays. General reference assistance available. General copying services available. Introductory brochure available.","Application for access form to be completed. At least one day's advance notice of visit required. Access to records which are not normally available for research can be gained by permission from Superior General.","The Good Samaritan Archives contains the records generated by the general administrative body of the Sisters of the Good Samaritan and some institutions (schools, orphanages, homes for aged, disadvantaged) for which the Sisters of the Good Samaritan were/are responsible in Australia and Post World War II Japan. Kiribati Baeolod (Philippines)","235m (97% in-house).",,,"<ul> <li>Sisters of the Good Samaritan: General administration, registers (admission, vow, death) 1857- (2m); Annual returns 1939- (3m); Photographs 1878- (13m); Women's Refuges/Orphanages admission registers 1877-1983 (3m); Correspondence and general administration 1857- (150m); Chapter documents 1878- (11m); Foundations 1859-(30m); Teachers' Training College 1905-1983 (4m); Admission registers R.C. Orphan School, Parramatta 1877-1886; Admission register Manly Industrial School/Orphanage 1881-1910 (1.6m); 'Mater Dei', Narellan 1910-58.</li> <li>Trustees of the Sisters of the Good Samaritan: General Council minutes 1878- (2m).</li> <li>Corporate Body of Sisters of the Good Samaritan: Legal and financial documents 1878-(5m).</li> <li>Archbishop J B Polding OSB: Letters to Sr Scholastica Gibbons 1863- (0.2m). Letters from Downside 1819-1868.</li> </ul>","<ul> <li><em>Guide to Good Samaritan Generalate Archives,</em> Glebe Point, Sydney NSW</li> <li>Trower, Ursula, <em>Guide to Visitors Book of R C Orphan School Parramatta, 1863-1886</em></li> <li>McGlynn and Trower, <em>Guide to Photographic collection - Good Samaritan Generalate Archives</em></li> <li>McGlynn and Trower, <em>Guide to Registers RC Orphan School, Parramatta, Tempe Women's Refuge, Manly Industrial School/Orphanage</em></li> <li><em>McGlynn and Trower, Guide to Foundation and Associated Ministries of SGS</em></li> </ul>","<ul> <li>McGlynn, Marie, 'Growth of Religious Institute' <em>Tjurunga</em>. Benedictine Union of Australian and New Zealand, Vol 39 (Sept, 1990): 90-111.</li> </ul>",,"2010-10-11","802","1","NSW"
"161","Society of Australian Genealogists","Richmond Villa, 120 Kent Street, Sydney 2000","As above","(02) 9247-3953",,"http://www.sag.org.au/","archives@sag.org.au","Archives Officer","Open Tues, Wed, Thurs and Sat 10:30am-4pm (for members and day researchers); 2nd Tues of each month 5:30-9pm (members only); closed Mon, Fri and public holidays. Reference assistance available in person as well as referral to paid researchers. Copying services for original records to A3, photographs, newspapers, maps and plans. The society also operates a library of books, journals, microform and computer based materials.","Minimum age 16 years. Researchers may be members of the Society or Day Researchers. Day Researchers must show identity, complete a research form and pay a fee. Membership to the Society is available on application to, and subject to approval of, the Council. The Society records are restricted but the majority are available on application to the Archives Officer. Primary records are available upon request.","The Society maintains its own records relating to establishment, activities and growth of Council and Committees including minutes and financial records. The Society collects Primary Records which include cemetery transcripts, diaries, family papers and documents, research notes, photographs, maps and charts, with a focus on unpublished personal histories (905 in-house). All Primary Record material is donated to the Society. About half the Primary Records collection is computerised, with the balance on cards. The computer index is now on-line - see www.sag.org.au/store.html.",,"Honorary Research Officer",,"<ul> <li>Bound mss 50-65 cm.</li> <li>Bound mss up to 50 cm.</li> <li>Family papers - closed series</li> <li>Family papers &amp; documents</li> <li>Photographs &amp; pictures, small</li> <li>Photographs &amp; pictures, large.</li> <li>Reeve records.</li> <li>Rolled maps &amp; charts.</li> <li>Brass rubbings, small.</li> <li>Brass rubbings, large.</li> <li>Confidential material.</li> <li>Thomson Grant records.</li> <li>To Mutch Memorial cuttings.</li> <li>Marriage unit forms.</li> <li>Framed material.</li> <li>Outsize items.</li> <li>Dennes records.</li> <li>Waldron-McCarthy.</li> <li>Artefacts.</li> </ul>","<ul> <li><em>The Society of Australian Genealogists Guide to the Library</em> SAG, 1982: 43-47.</li> </ul>","<ul> <li>Robinson, Tim, 'An Introduction to the Primary Records' <em>Descent</em> Vol 11/2: 83-90.</li> </ul>",,"2010-10-11","803","1","NSW"
"162","Provincial Archives and Archives of Kincoppal, Rose Bay School","New South Head Road, Rose Bay 2029","As above","(02) 9371-6504 / 9371-7144","(02) 9371-8048",,,"Provincial Archivist / School Archivist","Open by appointment; closed weekends, public holidays and Dec 15th - Jan 10th. General reference assistance available. Copying services available for books, journals, microfilms, photographs, newspapers, maps and plans.","Advance notice of visit and details of research, name, address and occupation required. Closed period of 30 years applies to most records.","All material generated by school bodies. All records generated by convents in Australia and some from overseas.","200m (99% in-house)",,,"<ul> <li>Society of Sacred Heart in Australia / Kincoppal - Rose Bay School: Magazines 1912-1991 (2m)</li> <li>School register 1882-1991 (1m)</li> <li>Articles and letters 1800-1991</li> <li>Photographs (10m)</li> <li>Periodicals (5m)</li> <li>Original letters 1880- (2m)</li> </ul>",,,,"2010-10-11","804","1","NSW"
"163","St Alban's Anglican Church, Epping","5 Pembroke Street, Epping 2121","PO Box 79, Epping 2121","(02) 9876-3362",,,,"Archivist","Open by appointment. General reference assistance available. Copying services available for books, journals and original records to A3. Copies of birth, death and marriage certificates are available for a fee.","Minimum age 15 years. Several weeks' advance notice of visit and reason for visit required.","Parish records and allied material 1890+. (98% in-house).",,,,"<ul> <li>Parish Baptismal register 1893-</li> <li>Marriage register 1897-</li> <li>Magazines 1928-</li> <li>Service registers 1892-</li> <li>Photographs 1900-</li> <li>Ephemera 1890-</li> </ul>",,"<ul> <li>Hubbard, Nigel, 'The Archives of St Alban's Epping', <em>Church Archivists' Society Newsletter</em> 14 (1982): 2.</li> </ul>",,"2010-10-11","805","1","NSW"
"164","St Aloysius' College","5 Jeffrey Street, Milsons Point 2060","47 Upper Pitt Street, Milsons Point 2060","(02) 9955-4193","(02) 9929-6414",,,"Archivist","Open Tues-Thurs 9am-4pm and by appointment; closed Mon and Fri. General reference assistance available. Copying services available for books, journals, original records to A3 and photographs.","4-6 weeks' advance notice of visit required including details of research project so that material can be made ready. Proof of identity required.","Records, photographs and memorabilia relating to the College. (90% in-house).",,,,,,,,"2010-10-11","806","1","NSW"
"165","St Catherine's School","Albion Street, Waverley 2024","As above","(02) 9389-9922","(02) 9369-2470",,,"Archivist","Open Tues 10am-4pm and by appointment; closed school holidays. General reference assistance available. Copying services available for books, journals, original records to A3 and photographs.","Minimum of one week's advance notice of visit required; purpose and subject of visit must be specified. Some records are permanently closed. Access to records not normally available for research can be gained by authorisation from the Headmistress' Council.","Records created by or received by the School in the conduct of educational business, personal records of past pupils and staff, together with general history of education.","50m (90% in-house)",,,"<ul> <li>Registrar: Pupils' (personal) files 1970s- (5m); Pupil registers 1890s- (1m).</li> <li>School: School magazine 1915-(1m).</li> <li>Council: Council minutes 1895- (1m).</li> <li>Secretary's Office: Lists 1970s- (1.5m); General files 1970s- (3m).</li> <li>Deputy Principal: Attendance registers 1940s- (1m).</li> </ul>",,,,"2010-10-11","807","1","NSW"
"166","St Margaret's Hospital",,,,,,,,,"Records of St Margaret's Hospital are held in the Mitchell and Dixson Libraries Manuscript Collection, State Library of New South Wales (MLMSS 6711). Access to the records is restricted.",,,,,"<ul> <li>Minutes 1922- (30m)</li> <li>Correspondence 1911- (40m)</li> <li>Registers 1894- (10m)</li> <li>Annual reports 1894- (3m)</li> <li>Midwifery/Nursing Education Records 1894-1933 (5m)</li> <li>Books/Journals/Newsletters/Publications 1925- (5m)</li> <li>Historical/Ephemera 1894- (2m)</li> <li>Maps &amp; Plans 1900- (5m)</li> <li>Photographs 1900- (10m)</li> <li>Artifacts 19? (10m)</li> </ul>",,,,"2010-10-11","808","1","NSW"
"167","St Mary's, Star of the Sea College Wollongong","Market Street, Wollongong 2500","PO Box 42, Wollongong East 2520","(02) 4228-6011","(02) 4229-8555",,,"Librarian","Open by appointment. General reference assistance available. Copying services for original records to A3, photographs, newspapers, maps and plans.","1 week's advance notice of visit required including details of dates and information required.","Information mainly about the Convent and College which has been conducted by the Sisters of the Good Samaritan since 1873:material from the Convent, College, ex-students and their families. (90% in-house).",,"Assistant",,,,,,"2010-10-11","809","1","NSW"
"168","St Stanislaus' College","Brilliant Street, Bathurst 2795","PO Box 97, Bathurst 2795","(02) 6331-4177","(02) 6331-4481",,,,"Closed to the public",,"College Records transferred from Administration.",,,"This repository has now been closed indefinitely.",,,,,"2010-10-11","810","1","NSW"
"169","State Bank of New South Wales",,,,,,,"CBA Archivist","Collection closed. Mail enquiries should be addressed to the CBA Archivist. 
","Access is restricted. Requests for information should be directed to the CBA Archivist. 
","The collection is now closed. The Acquisition forcus of the Collection was to record the Bank's administrative history. The collection was 100% in-house. 
",,,"Collection is closed. The State Bank was taken over in the late 1990's by the Colonial group who in turn have been taken over by the Commonwealth Bank, hence, the State Bank Collection is now part of the Commonwealth Bank's collection. 
","<ul>
	<li>Government Savings Bank of New South Wales: Board minutes 1909-1920 (1.3m).</li>
	<li>Oral history collection.</li>
</ul>
",,,,"2010-10-11","811","1","NSW"
"170","Mitchell and Dixson Libraries Manuscripts Collection","Macquarie Street, Sydney 2000","As above","(02) 9273-1505","(02) 9273-1267","http://www.sl.nsw.gov.au/collections/manuscripts.cfm","pbrunton@slnsw.gov.au","Mitchell Librarian","Open Mon-Fri 9am-9pm, Sat 11am-5pm; closed Sun and selected Public Holidays. General reference assistance and copying services available. Referral to paid researchers is available. Introductory brochure available.","Reader's Ticket provided instantly on production of two forms of identity (photograph and signature required).","Current collecting is of personal papers of individuals who are residents of NSW or closely associated with NSW; the archives of private organisations, societies and businesses operating in NSW.","9,800 m (ACA Australian Archival Statistics, 1998)","Curator of Manuscripts",,"<ul> <li>The holdings consist of personal papers and private archives created primarily in New South Wales or relating to New South Wales and its people. They also include significant collections relating to Antarctica. The papers of individuals cover the full spectrum of society. The private archives include those of community organisations, professional and trade associations, political parties, trades unions, small businesses, private schools and churches. <p>An earlier, wider collecting focus has resulted in important holdings relating to other states particularly for their foundation periods and extensive collections relating to the Pacific, especially nineteenth century missionary records.</p> <p>There is also a small collection of European illuminated manuscripts. Excluding the latter, the holdings cover the period from the seventeenth century to the present day.</p> </li> </ul>","<ul> <li>Entries in National Library of Australia <em>Guide to Collections of Manuscripts Relating to Australia</em>.</li> <li>Public Library of NSW, <em>The Mitchell Library, Sydney: Historical and Descriptive notes</em> Sydney, Public Library of NSW, 1936 and <em>Supplement: Important Accessions of Manuscripts and Pictures, 1937-April 1961</em>, Sydney, 1961.</li> <li>Public Library of NSW, <em>Catalogue of Manuscripts of Australasia and the Pacific in the Mitchell Library, Sydney: Series A Manuscripts Catalogued between 1963 and 1967 and Series B Manuscripts catalogued between 1963 and 1967</em>. Sydney, Public Library of NSW, 1967 and 1969.</li> <li>M K Beddie (ed), <em>Bibliography of Captain James Cook</em>. Sydney, The Library of NSW, 1970.</li> <li>Reports of Accessions, 1937 - October 1964, were published regularly in <em>Historical Studies: Australia and New Zealand</em>. April 1940 - April 1965.</li> <li>Numerous guides to individual collections have been published.</li> <li>Banks Papers on the Internet: www.slnsw.gov.au/Banks</li> </ul>",,,"2010-10-11","812","1","NSW"
